ID,Name,Level,Subject,SubjID,Date,Attendance,Score
S1865,Dylan Mark Ballard,Junior,Biology,BIO101,12/7/2023,Late,96
S1491,Melinda Jason Carter,Sophomore,Physics,PHYS101,10/12/2023,Late,94
S1738,Diana Patrick Travis,Freshman,Chemistry,CHEM101,5/30/2023,Late,83
S0408,Sarah Nicholas Parker,Freshman,Biology,BIO101,11/8/2023,Present,92
S0392,Douglas Aaron Fitzgerald,Sophomore,Math,MATH101,7/6/2023,Present,63
S0438,Kristin Daniel Copeland,Junior,Physics,PHYS101,7/25/2023,Late,98
S0765,Cynthia Barbara Reyes,Junior,Physics,PHYS101,1/4/2023,Present,73
S1630,Jasmine Micheal Rodriguez,Sophomore,Biology,BIO101,9/18/2023,Late,67
S0571,Samantha Gary Galvan,Senior,Math,MATH101,5/8/2023,Excused,55
S1882,Ryan Xavier Young,Sophomore,Physics,PHYS101,2/14/2023,Late,89
S1598,Alicia Angela Bush,Senior,Physics,PHYS101,11/2/2023,Late,93
S1817,Joseph Barbara Bright,Junior,English,ENG101,2/23/2023,Late,57
S1580,Ashley Jessica Graham,Junior,Physics,PHYS101,10/16/2023,Excused,61
S1653,Robert Carol Tucker,Freshman,Physics,PHYS101,10/21/2023,Absent,100
S0425,Bradley Stephen Smith,Senior,Chemistry,CHEM101,9/19/2023,Excused,77
S1247,Cody Jorge Skinner,Freshman,Physics,PHYS101,10/28/2023,Late,59
S0972,Brandi Jessica Bradley,Senior,Physics,PHYS101,10/5/2023,Excused,51
S1265,Timothy Emma Morgan,Senior,Chemistry,CHEM101,12/26/2023,Excused,88
S0715,Donald Alisha Johnson,Senior,English,ENG101,11/9/2023,Absent,60
S0638,Erin Scott Chan,Senior,Chemistry,CHEM101,2/10/2023,Absent,98
S0548,Christine David Johnson,Junior,Biology,BIO101,9/26/2023,Absent,67
S0611,Chad Jeffery Graham,Senior,Math,MATH101,4/16/2023,Late,98
S0861,John Francisco Jones,Senior,English,ENG101,10/1/2023,Excused,86
S0090,Jessica Alyssa Hall,Sophomore,Chemistry,CHEM101,10/26/2023,Excused,100
S0418,Lawrence Jennifer Lee,Junior,English,ENG101,8/7/2023,Present,53
S0253,Deborah Jeanette Rivera,Senior,Chemistry,CHEM101,8/26/2023,Absent,57
S1936,Brenda Susan Fletcher,Freshman,Physics,PHYS101,2/24/2023,Excused,85
S1272,William Jennifer Cantrell,Freshman,Biology,BIO101,6/9/2023,Excused,67
S1028,Jeffrey Christine Harris,Sophomore,Biology,BIO101,10/13/2023,Late,51
S0922,Brianna Matthew Clark,Sophomore,Biology,BIO101,11/1/2023,Excused,58
S1360,Angela Crystal Calderon,Senior,Physics,PHYS101,12/24/2023,Excused,92
S0608,Sharon Matthew Castro,Freshman,Chemistry,CHEM101,8/17/2023,Absent,53
S0273,Brian Robert Novak,Senior,English,ENG101,8/28/2023,Late,95
S0677,Tyler Teresa Smith,Junior,English,ENG101,2/7/2023,Late,51
S1599,Abigail Lori Oneill,Freshman,English,ENG101,5/18/2023,Excused,76
S0898,Robert Amy Flores,Junior,English,ENG101,12/14/2023,Late,65
S1697,Charles Brandon Lewis,Sophomore,Physics,PHYS101,1/17/2023,Present,74
S0301,Richard Jessica Bowman,Freshman,Physics,PHYS101,2/24/2023,Excused,59
S0930,Ryan Albert Henry,Freshman,Physics,PHYS101,4/7/2023,Absent,85
S1689,Laura Joseph Garner,Junior,Math,MATH101,2/4/2023,Excused,60
S0464,Bonnie Roy Mckinney,Sophomore,Physics,PHYS101,9/24/2023,Excused,88
S0467,Desiree Laura Bright,Senior,Physics,PHYS101,5/1/2023,Late,99
S0848,Chad Daniel Mercado,Junior,Biology,BIO101,8/25/2023,Present,88
S1543,Heather Jennifer Anderson,Sophomore,Biology,BIO101,3/25/2023,Late,60
S1997,Richard Steven Gonzalez,Sophomore,Math,MATH101,5/26/2023,Excused,77
S1334,Brittany Robert Todd,Freshman,Math,MATH101,5/6/2023,Absent,98
S1518,Chase Margaret Thomas,Freshman,Biology,BIO101,4/24/2023,Late,66
S1928,Ruth Gabriella Greene,Freshman,Math,MATH101,7/14/2023,Late,88
S0449,Jaime Walter Clayton,Freshman,Physics,PHYS101,1/14/2023,Present,58
S1655,Alan Julie Myers,Sophomore,English,ENG101,3/11/2023,Absent,50
S0889,Joshua Heather Simmons,Sophomore,Biology,BIO101,1/18/2023,Absent,69
S1733,Mary Katherine Murray,Senior,Physics,PHYS101,3/23/2023,Present,60
S1646,Vincent Christopher Jackson,Sophomore,Physics,PHYS101,4/11/2023,Excused,89
S0741,Dillon Beth Landry,Sophomore,Chemistry,CHEM101,3/16/2023,Late,71
S0650,Lawrence Deanna Morgan,Freshman,Biology,BIO101,11/10/2023,Present,92
S1849,Victor Wesley Rivera,Senior,Biology,BIO101,11/24/2023,Present,62
S1601,Nicole Jeffery Powell,Freshman,Chemistry,CHEM101,5/22/2023,Absent,88
S1191,Tiffany Brooke Taylor,Senior,English,ENG101,3/26/2023,Present,96
S1789,Leonard Gary Thomas,Sophomore,Physics,PHYS101,7/12/2023,Excused,96
S1366,Cynthia Katie Harris,Junior,Biology,BIO101,8/16/2023,Late,63
S0575,Lisa Jared Walker,Freshman,Biology,BIO101,7/16/2023,Late,58
S1743,Michelle Sandra Castillo,Sophomore,English,ENG101,4/29/2023,Present,53
S0129,Cindy Laura Lopez,Junior,Physics,PHYS101,11/21/2023,Late,77
S0088,Philip Nicole Browning,Junior,Math,MATH101,3/17/2023,Absent,95
S0327,Brandon Stacey Brown,Junior,Biology,BIO101,3/20/2023,Late,80
S0742,Jennifer Sean Conrad,Freshman,Math,MATH101,10/3/2023,Excused,62
S0774,Brian Lucas Snyder,Junior,Physics,PHYS101,2/10/2023,Absent,91
S0187,Frank Natasha Cisneros,Sophomore,Math,MATH101,6/11/2023,Excused,53
S0620,Thomas Joseph Murphy,Senior,English,ENG101,8/27/2023,Absent,95
S1266,Catherine Sara Ross,Freshman,Physics,PHYS101,10/8/2023,,73
S1899,Jennifer Jeffery Cole,Sophomore,English,ENG101,11/3/2023,Present,65
S0650,Lawrence Deanna Morgan,Freshman,Math,MATH101,8/21/2023,Present,92
S0738,Dominique Gregory Richardson,Junior,Physics,PHYS101,8/12/2023,Excused,68
S0953,Catherine Melissa Farmer,Freshman,English,ENG101,2/24/2023,Excused,68
S1084,Robert Angela Rios,Senior,Math,MATH101,7/16/2023,Late,58
S1830,Kevin Margaret Smith,Junior,Chemistry,CHEM101,3/14/2023,Late,76
S1018,Wanda Erik Valencia,Junior,Physics,PHYS101,4/28/2023,Excused,88
S1917,Monica Thomas Moses,Sophomore,Physics,PHYS101,12/15/2023,Excused,88
S0691,Nicole Kristin Barnett,Senior,Chemistry,CHEM101,9/20/2023,Present,94
S0758,Emily Ashley Rice,Sophomore,Chemistry,CHEM101,8/5/2023,Present,69
S0244,Bruce William Zuniga,Junior,Math,MATH101,8/16/2023,Excused,53
S1569,Danny Nicole Sanchez,Junior,Physics,PHYS101,12/31/2023,Excused,83
S0826,Megan Melinda Freeman,Freshman,Math,MATH101,8/17/2023,Absent,88
S1293,Craig Margaret Hamilton,Senior,Physics,PHYS101,5/14/2023,Excused,73
S0850,Louis Melanie Mccarthy,Junior,Chemistry,CHEM101,1/7/2023,Late,84
S0228,Gregory Anna Mccarty,Freshman,English,ENG101,6/1/2023,Present,78
S0367,Lisa Joann Miller,Sophomore,English,ENG101,6/11/2023,Present,77
S1199,William Jeffrey Black,Freshman,Chemistry,CHEM101,4/19/2023,,69
S0194,Kayla Robert Vaughan,Senior,Biology,BIO101,7/3/2023,Excused,55
S0847,Ryan Kelli Hutchinson,Junior,Physics,PHYS101,6/17/2023,Present,93
S1758,Michelle Anthony Ramos,Sophomore,Math,MATH101,4/18/2023,Absent,59
S0581,Benjamin Jesse Patel,Sophomore,Math,MATH101,5/31/2023,Present,71
S1529,Cindy Anthony Williams,Sophomore,English,ENG101,8/1/2023,,93
S0992,Samantha Jennifer Reese,Sophomore,Physics,PHYS101,12/7/2023,Present,95
S0853,Olivia Amy Harvey,Junior,Chemistry,CHEM101,12/3/2023,Late,76
S1831,Jeremiah Jennifer Price,Sophomore,Chemistry,CHEM101,8/12/2023,Late,65
S1627,Brian Kaylee Crawford,Sophomore,English,ENG101,7/4/2023,Present,68
S0630,Danielle Jennifer Thomas,Senior,Chemistry,CHEM101,2/9/2023,Excused,56
S1797,Brenda Dean Smith,Freshman,Chemistry,CHEM101,2/9/2023,Absent,79
S1270,Lisa Alexis Lam,Sophomore,Math,MATH101,3/29/2023,Late,94
S1997,Richard Steven Gonzalez,Sophomore,English,ENG101,5/8/2023,Present,60
S0440,Anthony Larry Adams,Freshman,Math,MATH101,7/29/2023,Late,89
S1659,Justin Monica Mcpherson,Freshman,English,ENG101,10/23/2023,Excused,68
S1899,Jennifer Jeffery Cole,Sophomore,Chemistry,CHEM101,6/1/2023,Excused,90
S0816,Alexander Matthew Mcdonald,Junior,Math,MATH101,5/4/2023,Late,70
S0602,Chad Daniel Wood,Junior,Math,MATH101,6/15/2023,Present,88
S0734,Alexander Randy Collins,Sophomore,Biology,BIO101,1/12/2023,Excused,88
S1737,Charles Stephanie Wilson,Senior,Physics,PHYS101,1/12/2023,Present,57
S1606,Alicia Andrew Johnson,Sophomore,Math,MATH101,3/22/2023,Present,88
S0641,Jeffrey Rebecca Browning,Junior,Chemistry,CHEM101,5/13/2023,Excused,51
S1293,Craig Margaret Hamilton,Senior,Physics,PHYS101,5/13/2023,Late,82
S1446,Kevin Pamela Nelson,Sophomore,Math,MATH101,4/25/2023,Present,71
S0741,Dillon Beth Landry,Sophomore,Physics,PHYS101,8/17/2023,Excused,63
S1483,Ronald Jane Garza,Senior,English,ENG101,3/16/2023,Present,85
S0663,Leonard Kristina Hopkins,Sophomore,Chemistry,CHEM101,10/22/2023,Absent,89
S0378,Mark Amy Morris,Junior,English,ENG101,8/30/2023,Late,77
S0947,Terri Tammy Williams,Freshman,English,ENG101,5/6/2023,Excused,98
S1261,David Justin Bradley,Senior,Physics,PHYS101,10/2/2023,Present,50
S0021,Debra Robert Clark,Freshman,Math,MATH101,3/23/2023,Absent,51
S1859,Chad Frances Wagner,Freshman,Physics,PHYS101,6/26/2023,Excused,54
S0296,Brenda Madeline Hayes,Sophomore,English,ENG101,12/5/2023,Late,85
S1631,Kenneth Kimberly Newman,Sophomore,Math,MATH101,7/8/2023,Present,54
S1416,Karen James Ruiz,Freshman,English,ENG101,11/27/2023,Absent,91
S1980,Donna Jeremy Green,Junior,Physics,PHYS101,8/11/2023,Late,73
S1974,Jessica Seth Henry,Junior,Biology,BIO101,3/10/2023,Excused,72
S1119,Kelly Donna Villegas,Junior,Chemistry,CHEM101,9/3/2023,Excused,79
S0027,Matthew Christine Shelton,Junior,Chemistry,CHEM101,2/22/2023,Absent,87
S0585,Tamara Debra Hill,Junior,English,ENG101,4/15/2023,Present,98
S1811,Brett Vicki Dixon,Junior,Chemistry,CHEM101,2/10/2023,Late,88
S1542,Robert Edwin Cabrera,Freshman,Biology,BIO101,8/10/2023,Absent,95
S1052,Jessica Tanya Benson,Junior,Biology,BIO101,12/17/2023,Present,86
S1890,Rebecca Denise Brown,Junior,Chemistry,CHEM101,11/30/2023,Present,61
S1149,David Christopher Salazar,Sophomore,Math,MATH101,6/14/2023,Present,50
S0349,Helen Brandon Walls,Sophomore,Chemistry,CHEM101,10/29/2023,Absent,70
S0980,Nicholas Kristen Nguyen,Freshman,Chemistry,CHEM101,9/12/2023,Present,78
S1214,Shirley Tina Ellison,Freshman,Biology,BIO101,5/9/2023,Absent,94
S0816,Alexander Matthew Mcdonald,Junior,Math,MATH101,10/11/2023,Present,86
S1171,Alicia Alexis Ellis,Junior,Math,MATH101,6/18/2023,Absent,59
S0603,Patrick Crystal Johnson,Freshman,Math,MATH101,8/26/2023,Present,52
S0617,Bradley Lindsey Ellis,Sophomore,Biology,BIO101,3/8/2023,Late,67
S1352,Ryan William Preston,Senior,Biology,BIO101,3/9/2023,Absent,72
S0109,Annette Shelley Martinez,Freshman,Physics,PHYS101,5/14/2023,Late,80
S0817,Susan Christopher Hall,Senior,Math,MATH101,1/20/2023,Late,51
S0590,Phillip Albert Thompson,Junior,Physics,PHYS101,11/22/2023,Present,100
S1861,Matthew Alyssa Wolfe,Senior,English,ENG101,10/31/2023,Excused,55
S0371,Kristen Christopher Johnson,Freshman,Chemistry,CHEM101,2/17/2023,Present,57
S1420,Gary Benjamin Mcclure,Sophomore,Math,MATH101,4/15/2023,Absent,84
S1152,Terri Christopher Smith,Senior,English,ENG101,8/11/2023,Late,56
S0999,April Xavier Wolfe,Senior,Physics,PHYS101,8/27/2023,Present,67
S0165,Gabriel Suzanne Thompson,Senior,Physics,PHYS101,8/31/2023,Excused,55
S1492,Emily Jermaine Rodriguez,Senior,Biology,BIO101,5/23/2023,Present,80
S0657,Rachel Dalton Johnson,Sophomore,Math,MATH101,3/16/2023,Excused,94
S0170,John Traci Short,Junior,Math,MATH101,1/12/2023,Absent,98
S0702,Veronica David Williamson,Senior,Biology,BIO101,6/28/2023,Excused,60
S1704,Stephen Michael Rodriguez,Freshman,Biology,BIO101,5/23/2023,Excused,62
S1243,Marissa David Burton,Sophomore,Chemistry,CHEM101,11/18/2023,Absent,55
S1216,Joshua Mathew Barnett,Freshman,Math,MATH101,4/23/2023,Late,59
S0976,Luke Anna Paul,Senior,Chemistry,CHEM101,5/14/2023,Absent,84
S1929,Suzanne Holly Torres,Sophomore,Physics,PHYS101,5/12/2023,Excused,97
S1443,Desiree Karen Coleman,Freshman,Math,MATH101,2/8/2023,Excused,71
S0608,Sharon Matthew Castro,Freshman,Physics,PHYS101,8/30/2023,Present,71
S0150,Jeffrey Elijah Melton,Junior,Math,MATH101,11/14/2023,Absent,55
S1459,Michael George Mack,Senior,English,ENG101,10/20/2023,Excused,66
S1097,Timothy Tonya Nichols,Freshman,English,ENG101,2/7/2023,Present,65
S0020,April Dalton Davis,Freshman,Biology,BIO101,11/8/2023,Excused,63
S0938,Teresa Steven Harrison,Senior,Physics,PHYS101,1/1/2023,Late,84
S0259,Alexander Clarence Davis,Sophomore,English,ENG101,4/30/2023,Present,56
S0169,Karla Shawn Evans,Senior,Chemistry,CHEM101,1/29/2023,Absent,66
S1435,Pamela Don Roberts,Senior,Math,MATH101,6/21/2023,Present,63
S0010,Mark Tony Burton,Junior,Math,MATH101,10/21/2023,Absent,52
S0739,Mary Anna Khan,Senior,Chemistry,CHEM101,8/4/2023,Excused,56
S0630,Danielle Jennifer Thomas,Senior,Chemistry,CHEM101,4/7/2023,Absent,63
S0233,Sheri Cody Dean,Sophomore,Chemistry,CHEM101,10/26/2023,Late,64
S0998,Miranda Sherry Stewart,Junior,Chemistry,CHEM101,6/23/2023,Present,90
S1496,Jeremy Angela Mckay,Senior,Chemistry,CHEM101,9/15/2023,Present,69
S0238,April William Pena,Junior,Biology,BIO101,2/1/2023,Absent,98
S0205,Jennifer David James,Junior,Physics,PHYS101,5/16/2023,Excused,67
S0292,Ashley Cynthia Parker,Senior,Biology,BIO101,10/5/2023,Late,77
S1262,David Karen Cantrell,Freshman,Physics,PHYS101,4/13/2023,Present,94
S0442,Bruce Stephanie Lin,Freshman,English,ENG101,12/25/2023,,96
S0896,Trevor Steven Nguyen,Junior,Biology,BIO101,4/28/2023,Late,64
S1922,Lisa Dylan Burke,Junior,Math,MATH101,5/18/2023,Excused,85
S0755,Laurie Deborah Miller,Freshman,English,ENG101,4/12/2023,Absent,82
S0222,John Tonya Watson,Sophomore,English,ENG101,5/18/2023,Late,77
S1371,Derrick Lisa Collins,Senior,Biology,BIO101,2/8/2023,Late,81
S0115,Nicole Colleen Taylor,Junior,Biology,BIO101,2/8/2023,Late,62
S0539,Lori Amy Morales,Junior,Math,MATH101,9/14/2023,Late,54
S1761,Ashley Laura Jackson,Senior,Math,MATH101,7/19/2023,Excused,76
S0995,Christine Robert Williams,Freshman,Math,MATH101,10/1/2023,Late,79
S0550,Jill Michaela Alexander,Freshman,Math,MATH101,7/3/2023,Late,76
S1242,Jeffrey Lisa Curtis,Junior,Chemistry,CHEM101,3/1/2023,Excused,63
S1410,Isaac Alexander Williams,Senior,English,ENG101,9/9/2023,Late,71
S1488,Susan Deanna Adams,Senior,English,ENG101,2/25/2023,Excused,65
S0803,Christopher Mark Watkins,Senior,English,ENG101,8/8/2023,Absent,78
S0483,Joshua David Day,Junior,Biology,BIO101,7/13/2023,Late,63
S1241,Deanna Brian Wilson,Freshman,Chemistry,CHEM101,6/17/2023,Excused,78
S1859,Chad Frances Wagner,Freshman,Biology,BIO101,11/9/2023,Absent,61
S1558,Mark Brittany Jones,Sophomore,English,ENG101,1/16/2023,Present,95
S0331,Robert Shannon Browning,Freshman,Biology,BIO101,5/21/2023,Excused,86
S0288,Michael Jeff Quinn,Senior,Biology,BIO101,8/24/2023,Present,73
S1615,Tracy Brian Mcfarland,Senior,Biology,BIO101,6/8/2023,Present,91
S1907,Amanda Kelsey Marshall,Freshman,Physics,PHYS101,7/22/2023,Excused,76
S1249,Jennifer Alex Abbott,Sophomore,English,ENG101,2/5/2023,Present,96
S1794,Linda Raymond Ross,Freshman,Biology,BIO101,11/19/2023,Absent,65
S1128,Daniel Paul Smith,Junior,English,ENG101,5/5/2023,Excused,57
S0036,Jacob Brett Glenn,Junior,Biology,BIO101,10/1/2023,Late,75
S0952,Bobby Jacqueline Miller,Senior,English,ENG101,12/24/2023,Excused,57
S0224,Jennifer Austin Wilson,Sophomore,Biology,BIO101,1/26/2023,Present,99
S1082,Micheal James James,Senior,Biology,BIO101,2/7/2023,Late,71
S0266,James Peter Smith,Junior,Math,MATH101,9/14/2023,Late,87
S1550,Bruce Arthur Wallace,Sophomore,Math,MATH101,5/21/2023,Late,66
S0521,Devon Anna Santiago,Sophomore,English,ENG101,11/26/2023,Present,79
S0861,John Francisco Jones,Senior,Physics,PHYS101,4/24/2023,Present,88
S1358,Debra Nicole Savage,Junior,Physics,PHYS101,6/17/2023,Late,90
