ID,Name,Level,Subject,SubjID,Date,Attendance,Score,Performance_Grade
S0020,April Dalton Davis,Freshman,Chemistry,CHEM101,2023-03-25,Late,51.0,F
S0021,Debra Robert Clark,Freshman,Math,MATH101,2023-03-23,Absent,0.0,F
S0021,Debra Robert Clark,Freshman,Chemistry,CHEM101,2023-11-17,Absent,0.0,F
S0022,Juan Jennifer Gonzalez,Junior,Physics,PHYS101,2023-04-03,Late,89.0,A
S0022,Juan Jennifer Gonzalez,Junior,Chemistry,CHEM101,2023-02-02,Present,70.0,C
S0022,Juan Jennifer Gonzalez,Junior,Biology,BIO101,2023-03-05,Absent,0.0,F
S0022,Juan Jennifer Gonzalez,Junior,English,ENG101,2023-10-28,Present,90.0,A
S0023,Stacey Robert Jacobs,Senior,Biology,BIO101,2023-03-19,Absent,0.0,F
S0023,Stacey Robert Jacobs,Senior,Chemistry,CHEM101,2023-04-09,Present,77.0,B
S0023,Stacey Robert Jacobs,Senior,Math,MATH101,2023-04-07,Late,70.0,C
S0023,Stacey Robert Jacobs,Senior,English,ENG101,2023-05-15,Excused,87.0,B
S0023,Stacey Robert Jacobs,Senior,Physics,PHYS101,2023-11-15,Absent,0.0,F
S0024,Hannah Christopher Beck,Sophomore,English,ENG101,2023-11-26,Excused,85.0,B
S0024,Hannah Christopher Beck,Sophomore,Biology,BIO101,2023-11-24,Absent,0.0,F
S0024,Hannah Christopher Beck,Sophomore,Physics,PHYS101,2023-12-17,Late,95.0,A
S0025,Dennis Cindy Lopez,Sophomore,Biology,BIO101,2023-02-12,Excused,89.0,A
S0025,Dennis Cindy Lopez,Sophomore,Math,MATH101,2023-01-08,Present,83.0,B
S0026,Sara Courtney Bell,Junior,Biology,BIO101,2023-03-30,Late,75.0,C
S0026,Sara Courtney Bell,Junior,Math,MATH101,2023-05-28,Late,56.0,F
S0026,Sara Courtney Bell,Junior,Physics,PHYS101,2023-12-03,Absent,0.0,F
S0027,Matthew Christine Shelton,Junior,Chemistry,CHEM101,2023-01-07,Present,88.0,B
S0027,Matthew Christine Shelton,Junior,Physics,PHYS101,2023-08-11,Excused,76.0,B
S0027,Matthew Christine Shelton,Junior,Math,MATH101,2023-08-15,Late,76.0,B
S0027,Matthew Christine Shelton,Junior,Biology,BIO101,2023-04-30,Excused,54.0,F
S0027,Matthew Christine Shelton,Junior,English,ENG101,2023-11-17,Absent,0.0,F
S0028,Michael Richard Guzman,Freshman,Math,MATH101,2023-04-08,Present,99.0,A
S0028,Michael Richard Guzman,Freshman,Physics,PHYS101,2023-07-07,Excused,63.0,D
S0028,Michael Richard Guzman,Freshman,English,ENG101,2023-02-22,Late,68.0,C
S0028,Michael Richard Guzman,Freshman,Biology,BIO101,2023-09-30,Late,92.0,A
S0029,Deborah Kelsey Cooper,Senior,Math,MATH101,2023-08-09,Excused,71.0,C
S0030,Patrick Mark Gutierrez,Senior,English,ENG101,2023-08-07,Excused,71.0,C
S0030,Patrick Mark Gutierrez,Senior,Biology,BIO101,2023-10-16,Excused,99.0,A
S0030,Patrick Mark Gutierrez,Senior,Chemistry,CHEM101,2023-06-24,Late,84.0,B
S0032,Gabriella Paul Arnold,Senior,Biology,BIO101,2023-07-17,Late,51.0,F
S0032,Gabriella Paul Arnold,Senior,Chemistry,CHEM101,2023-05-02,Absent,0.0,F
S0032,Gabriella Paul Arnold,Senior,Math,MATH101,2023-01-13,Excused,96.0,A
S0033,Abigail James Miller,Junior,Math,MATH101,2023-06-24,Present,63.0,D
S0033,Abigail James Miller,Junior,Physics,PHYS101,2023-06-24,Excused,88.0,B
S0033,Abigail James Miller,Junior,Biology,BIO101,2023-05-19,Late,63.0,D
S0034,Joshua George Robinson,Freshman,Math,MATH101,2023-11-03,Excused,90.0,A
S0034,Joshua George Robinson,Freshman,Physics,PHYS101,2023-07-02,Excused,95.0,A
S0035,Donna Harold Hawkins,Freshman,Biology,BIO101,2023-06-23,Late,63.0,D
S0035,Donna Harold Hawkins,Freshman,Physics,PHYS101,2023-12-27,Late,91.0,A
S0036,Jacob Brett Glenn,Junior,Biology,BIO101,2023-12-11,Present,53.0,F
S0036,Jacob Brett Glenn,Junior,English,ENG101,2023-11-20,Excused,77.0,B
S0036,Jacob Brett Glenn,Junior,Math,MATH101,2023-08-14,Present,74.0,C
S0036,Jacob Brett Glenn,Junior,Physics,PHYS101,2023-06-02,Excused,64.0,D
S0037,Robert Robert Henry,Freshman,Physics,PHYS101,2023-04-04,Present,60.0,D
S0037,Robert Robert Henry,Freshman,Biology,BIO101,2023-03-26,Absent,0.0,F
S0038,Clayton Karen Jensen,Freshman,Math,MATH101,2023-04-27,Present,99.0,A
S0038,Clayton Karen Jensen,Freshman,Chemistry,CHEM101,2023-08-11,Excused,95.0,A
S0038,Clayton Karen Jensen,Freshman,English,ENG101,2023-11-13,Present,73.0,C
S0039,Brandon Joshua Wood,Freshman,Chemistry,CHEM101,2023-07-12,Excused,90.0,A
S0039,Brandon Joshua Wood,Freshman,Math,MATH101,2023-03-12,Excused,67.0,C
S0039,Brandon Joshua Wood,Freshman,Physics,PHYS101,2023-11-18,Excused,52.0,F
S0039,Brandon Joshua Wood,Freshman,Biology,BIO101,2023-12-18,Present,81.0,B
S0040,Lawrence Thomas Armstrong,Sophomore,Physics,PHYS101,2023-07-01,Excused,100.0,A
S0041,Sandra Megan Taylor,Senior,Math,MATH101,2023-07-17,Late,79.0,B
S0042,Emily Sophia Hobbs,Sophomore,Math,MATH101,2023-10-08,Absent,0.0,F
S0042,Emily Sophia Hobbs,Sophomore,Biology,BIO101,2023-05-31,Present,80.0,B
S0042,Emily Sophia Hobbs,Sophomore,Chemistry,CHEM101,2023-01-27,Absent,0.0,F
S0043,Brian Mark Houston,Sophomore,Biology,BIO101,2023-01-24,Present,79.0,B
S0044,Jonathon Jared Juarez,Sophomore,Chemistry,CHEM101,2023-09-10,Absent,0.0,F
S0045,Valerie David Black,Junior,Physics,PHYS101,2023-01-29,Excused,73.0,C
S0045,Valerie David Black,Junior,Math,MATH101,2023-04-15,Excused,95.0,A
S0045,Valerie David Black,Junior,Biology,BIO101,2023-01-10,Absent,0.0,F
S0046,Angela Nancy Johnson,Freshman,Math,MATH101,2023-05-26,Late,73.0,C
S0046,Angela Nancy Johnson,Freshman,Chemistry,CHEM101,2023-10-23,Excused,92.0,A
S0046,Angela Nancy Johnson,Freshman,Biology,BIO101,2023-12-17,Excused,58.0,F
S0047,Brian Ashley Pearson,Sophomore,Biology,BIO101,2023-02-09,Present,70.0,C
S0047,Brian Ashley Pearson,Sophomore,English,ENG101,2023-12-11,Absent,0.0,F
S0047,Brian Ashley Pearson,Sophomore,Physics,PHYS101,2023-08-21,Excused,62.0,D
S0048,Kyle John Jones,Junior,Biology,BIO101,2023-01-02,Excused,80.0,B
S0048,Kyle John Jones,Junior,Chemistry,CHEM101,2023-12-23,Excused,64.0,D
S0048,Kyle John Jones,Junior,Physics,PHYS101,2023-09-15,Late,56.0,F
S0049,Erica Cory Long,Sophomore,Physics,PHYS101,2023-04-29,Present,56.0,F
S0049,Erica Cory Long,Sophomore,Biology,BIO101,2023-06-15,Absent,0.0,F
S0050,Doris Kristina Miller,Sophomore,English,ENG101,2023-12-04,Excused,93.0,A
S0050,Doris Kristina Miller,Sophomore,Math,MATH101,2023-08-08,Absent,0.0,F
S0050,Doris Kristina Miller,Sophomore,Biology,BIO101,2023-02-21,Late,84.0,B
S0050,Doris Kristina Miller,Sophomore,Physics,PHYS101,2023-04-25,Excused,53.0,F
S0051,Kristen Jeffrey Sanders,Junior,Physics,PHYS101,2023-08-16,Late,97.0,A
S0051,Kristen Jeffrey Sanders,Junior,Math,MATH101,2023-01-09,Present,78.0,B
S0051,Kristen Jeffrey Sanders,Junior,English,ENG101,2023-07-31,Late,89.0,A
S0052,Jacob Nathaniel Davis,Freshman,Biology,BIO101,2023-10-16,Excused,71.0,C
S0052,Jacob Nathaniel Davis,Freshman,Chemistry,CHEM101,2023-11-21,Absent,0.0,F
S0052,Jacob Nathaniel Davis,Freshman,English,ENG101,2023-07-04,Present,92.0,A
S0052,Jacob Nathaniel Davis,Freshman,Math,MATH101,2023-06-29,Present,80.0,B
S0052,Jacob Nathaniel Davis,Freshman,Physics,PHYS101,2023-02-12,Excused,69.0,C
S0053,Nathan Jeremy Nash,Freshman,Physics,PHYS101,2023-10-15,Late,66.0,D
S0053,Nathan Jeremy Nash,Freshman,Chemistry,CHEM101,2023-01-26,Present,86.0,B
S0053,Nathan Jeremy Nash,Freshman,Math,MATH101,2023-10-03,Absent,0.0,F
S0053,Nathan Jeremy Nash,Freshman,English,ENG101,2023-03-15,Present,54.0,F
S0054,Ryan Aaron Ramirez,Sophomore,Math,MATH101,2023-01-16,Excused,94.0,A
S0054,Ryan Aaron Ramirez,Sophomore,English,ENG101,2023-12-23,Absent,0.0,F
S0054,Ryan Aaron Ramirez,Sophomore,Chemistry,CHEM101,2023-08-28,Present,100.0,A
S0054,Ryan Aaron Ramirez,Sophomore,Biology,BIO101,2023-06-13,Absent,0.0,F
S0055,Alexandra Susan Lynch,Senior,Physics,PHYS101,2023-05-31,Late,60.0,D
S0055,Alexandra Susan Lynch,Senior,Chemistry,CHEM101,2023-02-26,Excused,94.0,A
S0055,Alexandra Susan Lynch,Senior,English,ENG101,2023-04-03,Present,50.0,F
S0055,Alexandra Susan Lynch,Senior,Math,MATH101,2023-04-11,Absent,0.0,F
S0056,Mary Patricia Ramirez,Freshman,English,ENG101,2023-04-30,Present,100.0,A
S0056,Mary Patricia Ramirez,Freshman,Math,MATH101,2023-07-11,Late,62.0,D
S0056,Mary Patricia Ramirez,Freshman,Physics,PHYS101,2023-08-16,Excused,51.0,F
S0056,Mary Patricia Ramirez,Freshman,Chemistry,CHEM101,2023-10-10,Excused,53.0,F
S0057,Jennifer Gina Miller,Sophomore,Physics,PHYS101,2023-12-28,Absent,0.0,F
S0058,Christine Kevin Chambers,Sophomore,Math,MATH101,2023-12-23,Absent,0.0,F
S0058,Christine Kevin Chambers,Sophomore,Chemistry,CHEM101,2023-08-14,Excused,85.0,B
S0058,Christine Kevin Chambers,Sophomore,English,ENG101,2023-09-05,Present,58.0,F
S0059,Brandy Timothy Davis,Sophomore,English,ENG101,2023-02-06,Absent,0.0,F
S0059,Brandy Timothy Davis,Sophomore,Math,MATH101,2023-08-06,Present,57.0,F
S0059,Brandy Timothy Davis,Sophomore,Biology,BIO101,2023-05-11,Absent,0.0,F
S0060,Jacqueline Nicholas Taylor,Junior,Math,MATH101,2023-03-16,Late,77.0,B
S0060,Jacqueline Nicholas Taylor,Junior,Physics,PHYS101,2023-11-25,Late,85.0,B
S0061,Robert Bryce Guerra,Freshman,English,ENG101,2023-12-27,Excused,64.0,D
S0061,Robert Bryce Guerra,Freshman,Math,MATH101,2023-07-26,Late,89.0,A
S0061,Robert Bryce Guerra,Freshman,Chemistry,CHEM101,2023-07-06,Present,78.0,B
S0061,Robert Bryce Guerra,Freshman,Biology,BIO101,2023-12-01,Absent,0.0,F
S0062,Tabitha Robert Townsend,Junior,Chemistry,CHEM101,2023-07-26,Present,78.0,B
S0062,Tabitha Robert Townsend,Junior,Math,MATH101,2023-03-11,Late,60.0,D
S0062,Tabitha Robert Townsend,Junior,English,ENG101,2023-03-03,Late,93.0,A
S0063,Lori Mark Sanders,Freshman,Physics,PHYS101,2023-03-31,Late,72.0,C
S0063,Lori Mark Sanders,Freshman,Biology,BIO101,2023-01-11,Present,74.0,C
S0064,Jillian Levi Sutton,Sophomore,Chemistry,CHEM101,2023-03-05,Excused,67.0,C
S0064,Jillian Levi Sutton,Sophomore,Biology,BIO101,2023-09-09,Absent,0.0,F
S0064,Jillian Levi Sutton,Sophomore,Physics,PHYS101,2023-03-07,Late,97.0,A
S0064,Jillian Levi Sutton,Sophomore,English,ENG101,2023-07-13,Late,76.0,B
S0065,Larry Stacy Petersen,Sophomore,Chemistry,CHEM101,2023-07-30,Present,99.0,A
S0065,Larry Stacy Petersen,Sophomore,English,ENG101,2023-01-04,Absent,0.0,F
S0065,Larry Stacy Petersen,Sophomore,Biology,BIO101,2023-04-04,Excused,51.0,F
S0065,Larry Stacy Petersen,Sophomore,Math,MATH101,2023-12-11,Present,50.0,F
S0066,Gary Joanna Reeves,Sophomore,Physics,PHYS101,2023-06-10,Absent,0.0,F
S0066,Gary Joanna Reeves,Sophomore,Chemistry,CHEM101,2023-07-11,Present,50.0,F
S0066,Gary Joanna Reeves,Sophomore,Biology,BIO101,2023-03-10,Absent,0.0,F
S0067,James Katie Dean,Junior,English,ENG101,2023-04-14,Late,62.0,D
S0067,James Katie Dean,Junior,Physics,PHYS101,2023-01-28,Excused,89.0,A
S0067,James Katie Dean,Junior,Math,MATH101,2023-04-19,Present,68.0,C
S0067,James Katie Dean,Junior,Chemistry,CHEM101,2023-07-20,Absent,0.0,F
S0068,Chad John Burgess,Freshman,Physics,PHYS101,2023-06-25,Absent,0.0,F
S0068,Chad John Burgess,Freshman,Chemistry,CHEM101,2023-11-10,Absent,0.0,F
S0068,Chad John Burgess,Freshman,Math,MATH101,2023-10-02,Absent,0.0,F
S0068,Chad John Burgess,Freshman,Biology,BIO101,2023-10-18,Excused,84.0,B
S0068,Chad John Burgess,Freshman,English,ENG101,2023-07-18,Absent,0.0,F
S0069,Patricia Mary Martinez,Senior,English,ENG101,2023-11-30,Absent,0.0,F
S0069,Patricia Mary Martinez,Senior,Math,MATH101,2023-01-17,Absent,0.0,F
S0069,Patricia Mary Martinez,Senior,Biology,BIO101,2023-10-29,Late,63.0,D
S0069,Patricia Mary Martinez,Senior,Physics,PHYS101,2023-02-24,Excused,61.0,D
S0069,Patricia Mary Martinez,Senior,Chemistry,CHEM101,2023-04-25,Late,94.0,A
S0070,Jasmine Jessica Payne,Senior,English,ENG101,2023-03-09,Present,67.0,C
S0070,Jasmine Jessica Payne,Senior,Biology,BIO101,2023-05-08,Late,54.0,F
S0070,Jasmine Jessica Payne,Senior,Chemistry,CHEM101,2023-06-28,Excused,69.0,C
S0070,Jasmine Jessica Payne,Senior,Math,MATH101,2023-09-13,Present,83.0,B
S0071,Matthew Julia Wallace,Freshman,Physics,PHYS101,2023-09-30,Late,94.0,A
S0071,Matthew Julia Wallace,Freshman,Biology,BIO101,2023-02-25,Present,63.0,D
S0071,Matthew Julia Wallace,Freshman,English,ENG101,2023-03-12,Present,74.95579658242096,C
S0072,Aaron Ryan Crosby,Senior,Chemistry,CHEM101,2023-01-24,Late,77.0,B
S0072,Aaron Ryan Crosby,Senior,English,ENG101,2023-06-02,Late,94.0,A
S0072,Aaron Ryan Crosby,Senior,Math,MATH101,2023-08-02,Late,80.0,B
S0072,Aaron Ryan Crosby,Senior,Biology,BIO101,2023-10-25,Excused,55.0,F
S0073,Tammy Stephen Smith,Sophomore,Biology,BIO101,2023-09-15,Present,52.0,F
S0073,Tammy Stephen Smith,Sophomore,Physics,PHYS101,2023-11-14,Present,66.0,D
S0073,Tammy Stephen Smith,Sophomore,Math,MATH101,2023-06-21,Absent,0.0,F
S0074,Megan Edward Jones,Junior,English,ENG101,2023-07-16,Late,86.0,B
S0074,Megan Edward Jones,Junior,Math,MATH101,2023-08-17,Excused,50.0,F
S0074,Megan Edward Jones,Junior,Biology,BIO101,2023-02-10,Absent,0.0,F
S0075,Samantha Charles Mitchell,Junior,Math,MATH101,2023-10-21,Excused,82.0,B
S0075,Samantha Charles Mitchell,Junior,Chemistry,CHEM101,2023-03-01,Present,88.0,B
S0075,Samantha Charles Mitchell,Junior,Biology,BIO101,2023-12-02,Excused,98.0,A
S0076,Jennifer Michael Baldwin,Junior,Math,MATH101,2023-10-19,Absent,0.0,F
S0076,Jennifer Michael Baldwin,Junior,Chemistry,CHEM101,2023-05-10,Late,76.0,B
S0076,Jennifer Michael Baldwin,Junior,Biology,BIO101,2023-08-12,Absent,0.0,F
S0077,Joshua Joseph Kim,Junior,Physics,PHYS101,2023-05-11,Absent,0.0,F
S0077,Joshua Joseph Kim,Junior,Math,MATH101,2023-09-30,Absent,0.0,F
S0077,Joshua Joseph Kim,Junior,Chemistry,CHEM101,2023-06-12,Absent,0.0,F
S0077,Joshua Joseph Kim,Junior,English,ENG101,2023-03-29,Absent,0.0,F
S0078,Beverly Michael Marshall,Sophomore,Math,MATH101,2023-02-15,Present,57.0,F
S0078,Beverly Michael Marshall,Sophomore,English,ENG101,2023-03-15,Late,73.0,C
S0079,Rodney Shaun Robertson,Senior,Math,MATH101,2023-08-20,Late,69.0,C
S0079,Rodney Shaun Robertson,Senior,Biology,BIO101,2023-04-10,Present,61.0,D
S0079,Rodney Shaun Robertson,Senior,Physics,PHYS101,2023-03-27,Late,95.0,A
S0079,Rodney Shaun Robertson,Senior,Chemistry,CHEM101,2023-12-03,Late,88.0,B
S0079,Rodney Shaun Robertson,Senior,English,ENG101,2023-12-05,Absent,0.0,F
S0080,Kevin Janice Rocha,Senior,Biology,BIO101,2023-07-31,Absent,0.0,F
S0080,Kevin Janice Rocha,Senior,Math,MATH101,2023-08-16,Excused,68.0,C
S0080,Kevin Janice Rocha,Senior,Chemistry,CHEM101,2023-03-20,Excused,84.0,B
S0082,Donna Monica Cook,Junior,English,ENG101,2023-07-21,Excused,58.0,F
S0082,Donna Monica Cook,Junior,Chemistry,CHEM101,2023-03-17,Excused,62.0,D
S0082,Donna Monica Cook,Junior,Biology,BIO101,2023-02-14,Late,75.0,C
S0082,Donna Monica Cook,Junior,Physics,PHYS101,2023-03-03,Present,92.0,A
S0083,Christina Carla Day,Sophomore,Math,MATH101,2023-06-15,Late,70.0,C
S0083,Christina Carla Day,Sophomore,English,ENG101,2023-09-26,Absent,0.0,F
S0083,Christina Carla Day,Sophomore,Biology,BIO101,2023-01-19,Excused,86.0,B
S0083,Christina Carla Day,Sophomore,Physics,PHYS101,2023-08-18,Excused,75.0,C
S0084,Frank Brenda Anderson,Junior,Biology,BIO101,2023-12-09,Present,74.0,C
S0084,Frank Brenda Anderson,Junior,Math,MATH101,2023-10-29,Absent,0.0,F
S0084,Frank Brenda Anderson,Junior,English,ENG101,2023-09-21,Present,61.0,D
S0084,Frank Brenda Anderson,Junior,Physics,PHYS101,2023-05-05,Present,94.0,A
S0084,Frank Brenda Anderson,Junior,Chemistry,CHEM101,2023-03-08,Excused,57.0,F
S0085,Brittany James Miller,Sophomore,Math,MATH101,2023-07-18,Excused,64.0,D
S0085,Brittany James Miller,Sophomore,Chemistry,CHEM101,2023-05-13,Late,68.0,C
S0085,Brittany James Miller,Sophomore,Physics,PHYS101,2023-05-23,Present,56.0,F
S0086,Aaron David Moore,Freshman,Math,MATH101,2023-04-20,Absent,0.0,F
S0086,Aaron David Moore,Freshman,Physics,PHYS101,2023-04-25,Late,91.0,A
S0086,Aaron David Moore,Freshman,English,ENG101,2023-03-22,Present,82.0,B
S0086,Aaron David Moore,Freshman,Biology,BIO101,2023-04-25,Late,100.0,A
S0087,Rachel Laura Hawkins,Senior,Math,MATH101,2023-11-24,Absent,0.0,F
S0087,Rachel Laura Hawkins,Senior,English,ENG101,2023-02-22,Absent,0.0,F
S0088,Philip Nicole Browning,Junior,Chemistry,CHEM101,2023-04-14,Absent,0.0,F
S0088,Philip Nicole Browning,Junior,Physics,PHYS101,2023-05-31,Absent,0.0,F
S0088,Philip Nicole Browning,Junior,Math,MATH101,2023-03-17,Absent,0.0,F
S0088,Philip Nicole Browning,Junior,English,ENG101,2023-08-17,Late,68.0,C
S0088,Philip Nicole Browning,Junior,Biology,BIO101,2023-09-27,Excused,62.0,D
S0089,Stephen Nicholas James,Junior,English,ENG101,2023-06-19,Excused,66.0,D
S0089,Stephen Nicholas James,Junior,Chemistry,CHEM101,2023-12-09,Excused,76.0,B
S0089,Stephen Nicholas James,Junior,Physics,PHYS101,2023-03-03,Present,87.0,B
S0089,Stephen Nicholas James,Junior,Math,MATH101,2023-09-14,Late,54.0,F
S0090,Jessica Alyssa Hall,Sophomore,Physics,PHYS101,2023-04-30,Absent,0.0,F
S0090,Jessica Alyssa Hall,Sophomore,Biology,BIO101,2023-12-21,Present,83.0,B
S0090,Jessica Alyssa Hall,Sophomore,Chemistry,CHEM101,2023-10-26,Excused,100.0,A
S0090,Jessica Alyssa Hall,Sophomore,Math,MATH101,2023-09-19,Late,77.0,B
S0091,Aaron Teresa Young,Freshman,Biology,BIO101,2023-07-10,Excused,52.0,F
S0091,Aaron Teresa Young,Freshman,Physics,PHYS101,2023-08-30,Absent,0.0,F
S0092,Briana Rebecca Holmes,Sophomore,English,ENG101,2023-12-30,Absent,0.0,F
S0092,Briana Rebecca Holmes,Sophomore,Physics,PHYS101,2023-10-14,Excused,68.0,C
S0092,Briana Rebecca Holmes,Sophomore,Math,MATH101,2023-05-08,Present,95.0,A
S0092,Briana Rebecca Holmes,Sophomore,Chemistry,CHEM101,2023-11-29,Absent,0.0,F
S0092,Briana Rebecca Holmes,Sophomore,Biology,BIO101,2023-08-07,Absent,0.0,F
S0093,Kenneth Alan Solis,Freshman,Math,MATH101,2023-11-08,Excused,98.0,A
S0093,Kenneth Alan Solis,Freshman,Physics,PHYS101,2023-08-21,Excused,98.0,A
S0093,Kenneth Alan Solis,Freshman,Biology,BIO101,2023-01-29,Present,80.0,B
S0093,Kenneth Alan Solis,Freshman,English,ENG101,2023-05-15,Present,89.0,A
S0094,Nicole Scott Burns,Sophomore,Biology,BIO101,2023-09-04,Late,66.0,D
S0094,Nicole Scott Burns,Sophomore,English,ENG101,2023-07-10,Absent,0.0,F
